mod,nAg,rRep,rOr,rAt,CCO,isolated,avgA2A
M,15,0.01,0.12,0.15,14,0.0666666666666667,0.063934166746713
M,15,0.01,0.12,0.15,15,0,0.052434696522187
M,15,0.01,0.12,0.15,15,0,0.011999291947146
M,15,0.01,0.12,0.15,11,0.133333333333333,0.05627317920192
M,15,0.01,0.12,0.15,15,0,0.051412981714632
M,15,0.01,0.12,0.15,14,0.0666666666666667,0.051072996072347
M,15,0.01,0.12,0.15,8,0,0.130818638396111
M,15,0.01,0.12,0.15,14,0.0666666666666667,0.134774594470883
M,15,0.01,0.12,0.15,8,0.0666666666666667,0.290106009306653
M,15,0.01,0.12,0.15,15,0,0.066423710760422
M,15,0.01,0.12,0.15,15,0,0.047198276012952
M,15,0.01,0.12,0.15,15,0,0.034425879948874
M,15,0.01,0.12,0.15,13,0,0.042055832248099
M,15,0.01,0.12,0.15,14,0.0666666666666667,0.0518153762182
M,15,0.01,0.12,0.15,15,0,0.052577905920038
M,15,0.01,0.12,0.15,14,0.0666666666666667,0.038030769342716
M,15,0.01,0.12,0.15,15,0,0.03973839934984
M,15,0.01,0.12,0.15,14,0.0666666666666667,0.065967438242942
M,15,0.01,0.12,0.15,15,0,0.060034535810948
M,15,0.01,0.12,0.15,15,0,0.063441982615213
M,15,0.01,0.12,0.15,15,0,0.050409345481963
M,15,0.01,0.12,0.15,14,0.0666666666666667,0.091993242474219
M,15,0.01,0.12,0.15,13,0.133333333333333,0.037832879157335
M,15,0.01,0.12,0.15,15,0,0.049625655685096
M,15,0.01,0.12,0.15,15,0,0.039384884975056
M,15,0.01,0.12,0.15,15,0,0.024731406021445
M,15,0.01,0.12,0.15,14,0.0666666666666667,0.056706371281399
M,15,0.01,0.12,0.15,8,0,0.05614718982608
M,15,0.01,0.12,0.15,15,0,0.044535765952923
M,15,0.01,0.12,0.15,15,0,0.049634289598076
M,15,0.01,0.12,0.15,12,0.0666666666666667,0.069714678843759
M,15,0.01,0.12,0.15,15,0,0.052865233851492
M,15,0.01,0.12,0.15,15,0,0.079308212254575
M,15,0.01,0.12,0.15,12,0,0.040086713694441
M,15,0.01,0.12,0.15,15,0,0.048387239472898
M,15,0.01,0.12,0.15,15,0,0.037953126844668
M,15,0.01,0.12,0.15,15,0,0.064925841873164
M,15,0.01,0.12,0.15,15,0,0.06478907543457
M,15,0.01,0.12,0.15,14,0.0666666666666667,0.020662258980867
M,15,0.01,0.12,0.15,15,0,0.036033344455469
M,15,0.01,0.12,0.15,15,0,0.042242757206134
M,15,0.01,0.12,0.15,15,0,0.045249123143772
M,15,0.01,0.12,0.15,10,0.0666666666666667,0.085132618023036
M,15,0.01,0.12,0.15,14,0.0666666666666667,0.1035679518635
M,15,0.01,0.12,0.15,13,0,0.057676344408999
M,15,0.01,0.12,0.15,15,0,0.047858501330602
M,15,0.01,0.12,0.15,15,0,0.076624932584609
M,15,0.01,0.12,0.15,15,0,0.029186529934636
M,15,0.01,0.12,0.15,13,0.133333333333333,0.129568631651126
M,15,0.01,0.12,0.15,15,0,0.043934944916944
M,15,0.01,0.12,0.15,15,0,0.049380475925336
M,15,0.01,0.12,0.15,9,0,0.27027237068574
M,15,0.01,0.12,0.15,15,0,0.036786871242169
M,15,0.01,0.12,0.15,15,0,0.055995660098016
M,15,0.01,0.12,0.15,14,0.0666666666666667,0.121863078611883
M,15,0.01,0.12,0.15,14,0.0666666666666667,0.055975577724477
M,15,0.01,0.12,0.15,15,0,0.053933493464545
M,15,0.01,0.12,0.15,15,0,0.045066338484929
M,15,0.01,0.12,0.15,15,0,0.043240312103894
M,15,0.01,0.12,0.15,14,0.0666666666666667,0.054599221757817
M,15,0.01,0.12,0.15,15,0,0.023095902449828
M,15,0.01,0.12,0.15,15,0,0.026847287646021
M,15,0.01,0.12,0.15,13,0,0.17540304754708
M,15,0.01,0.12,0.15,11,0.0666666666666667,0.172412340498799
M,15,0.01,0.12,0.15,15,0,0.019995571993399
M,15,0.01,0.12,0.15,14,0.0666666666666667,0.034786118506107
M,15,0.01,0.12,0.15,14,0.0666666666666667,0.067063691096986
M,15,0.01,0.12,0.15,14,0.0666666666666667,0.039629881238987
M,15,0.01,0.12,0.15,15,0,0.04161971331683
M,15,0.01,0.12,0.15,15,0,0.029177750705892
M,15,0.01,0.12,0.15,15,0,0.013500091600859
M,15,0.01,0.12,0.15,14,0.0666666666666667,0.059646960273681
M,15,0.01,0.12,0.15,13,0,0.057312152699899
M,8,0.01,0.12,0.15,3,0.125,0.423214644212493
M,8,0.01,0.12,0.15,5,0.125,0.319136822649894
M,8,0.01,0.12,0.15,6,0,0.048604478792436
M,8,0.01,0.12,0.15,3,0.125,0.081551734468494
M,8,0.01,0.12,0.15,3,0.25,0.294345962284278
M,8,0.01,0.12,0.15,8,0,0.02538514740528
M,8,0.01,0.12,0.15,5,0,0.09517320878394
M,8,0.01,0.12,0.15,7,0.125,0.087188166083637
M,8,0.01,0.12,0.15,4,0,0.370023966728379
M,8,0.01,0.12,0.15,3,0.125,0.356531613807705
M,8,0.01,0.12,0.15,8,0,0.062984356571808
M,8,0.01,0.12,0.15,8,0,0.03112830129659
M,8,0.01,0.12,0.15,4,0.125,0.375292685997989
M,8,0.01,0.12,0.15,8,0,0.035767205148812
M,8,0.01,0.12,0.15,4,0.125,0.235774094446731
M,8,0.01,0.12,0.15,6,0.25,0.048651067123925
M,8,0.01,0.12,0.15,4,0.125,0.230852473717522
M,8,0.01,0.12,0.15,4,0.125,0.233374441896248
M,8,0.01,0.12,0.15,5,0.125,0.130758606940732
M,8,0.01,0.12,0.15,4,0,0.363163875615387
M,8,0.01,0.12,0.15,5,0.125,0.134055524548278
M,8,0.01,0.12,0.15,4,0.125,0.335378232856273
M,8,0.01,0.12,0.15,5,0,0.075901210036039
M,8,0.01,0.12,0.15,7,0.125,0.029153029152399
M,8,0.01,0.12,0.15,4,0.125,0.336410775043961
M,8,0.01,0.12,0.15,5,0,0.312824020305388
M,8,0.01,0.12,0.15,4,0,0.271850604110042
M,8,0.01,0.12,0.15,3,0,0.294723781156925
M,8,0.01,0.12,0.15,8,0,0.073574467394762
M,8,0.01,0.12,0.15,3,0,0.404306878472415
M,8,0.01,0.12,0.15,5,0.125,0.217518742579874
M,8,0.01,0.12,0.15,4,0,0.332858139618229
M,8,0.01,0.12,0.15,7,0.125,0.031419328992321
M,8,0.01,0.12,0.15,3,0,0.356229654881711
M,8,0.01,0.12,0.15,8,0,0.00693238137767799
M,8,0.01,0.12,0.15,3,0.125,0.384516434942285
M,8,0.01,0.12,0.15,4,0,0.404516304111215
M,8,0.01,0.12,0.15,6,0,0.322127663901107
M,8,0.01,0.12,0.15,6,0.25,0.089562473176199
M,8,0.01,0.12,0.15,4,0,0.294461424164764
M,8,0.01,0.12,0.15,4,0.125,0.351126858057637
